"Forecast_date","Cummulative_SWT_in_degree_C","Forecast_generated_on"
2025-06-12,3080.59555854989,2025-06-12
2025-06-13,3095.3960446761,2025-06-12
2025-06-14,3110.19653080232,2025-06-12
2025-06-15,3124.99701692853,2025-06-12
2025-06-16,3139.79750305474,2025-06-12
2025-06-17,3154.59798918095,2025-06-12
2025-06-18,3169.39847530716,2025-06-12
2025-06-19,3184.19896143337,2025-06-12
2025-06-20,3198.99944755958,2025-06-12
2025-06-21,3213.79993368579,2025-06-12
2025-06-22,3228.600419812,2025-06-12
2025-06-23,3243.40090593821,2025-06-12
2025-06-24,3258.20139206442,2025-06-12
2025-06-25,3273.00187819064,2025-06-12
2025-06-26,3287.80236431685,2025-06-12
2025-06-27,3302.60285044306,2025-06-12
2025-06-28,3317.40333656927,2025-06-12
2025-06-29,3332.20382269548,2025-06-12
2025-06-30,3347.00430882169,2025-06-12
2025-07-01,3361.8047949479,2025-06-12
2025-07-02,3376.60528107411,2025-06-12
